Accident Index,Timestamp,severity,Casualties,Number of Casualties,Number of Vehicles,url,apiUrl,Latitude,Longitude
201301CP00184,"7:30pm, 23rd July 2013",slight,Cyclist,1,2,https://www.cyclestreets.net/collisions/reports/201301CP00184/,https://api.cyclestreets.net/v2/collisions.location?id=201301CP00184,51.510987,-0.108157
201301CP00186,"5:56pm, 21st July 2013",slight,Cyclist,1,2,https://www.cyclestreets.net/collisions/reports/201301CP00186/,https://api.cyclestreets.net/v2/collisions.location?id=201301CP00186,51.51089,-0.102108
201301CP00207,"7:58am, 29th August 2013",serious,Cyclist,1,2,https://www.cyclestreets.net/collisions/reports/201301CP00207/,https://api.cyclestreets.net/v2/collisions.location?id=201301CP00207,51.510897,-0.108161
201301CP00232,"9:00am, 20th September 2013",slight,Cyclist,1,2,https://www.cyclestreets.net/collisions/reports/201301CP00232/,https://api.cyclestreets.net/v2/collisions.location?id=201301CP00232,51.510934,-0.104845
201301CP00235,"10:29pm, 17th September 2013",slight,Cyclist,1,2,https://www.cyclestreets.net/collisions/reports/201301CP00235/,https://api.cyclestreets.net/v2/collisions.location?id=201301CP00235,51.511814,-0.103655
201301CP00334,"3:00pm, 15th April 2013",slight,Cyclist,1,2,https://www.cyclestreets.net/collisions/reports/201301CP00334/,https://api.cyclestreets.net/v2/collisions.location?id=201301CP00334,51.510989,-0.102681
201401CP00069,"7:00am, 3rd March 2014",slight,Cyclist,1,2,https://www.cyclestreets.net/collisions/reports/201401CP00069/,https://api.cyclestreets.net/v2/collisions.location?id=201401CP00069,51.512067,-0.102636
201401CP00173,"9:18am, 20th June 2014",slight,Cyclist,1,2,https://www.cyclestreets.net/collisions/reports/201401CP00173/,https://api.cyclestreets.net/v2/collisions.location?id=201401CP00173,51.511646,-0.104383
201401CP00255,"5:07pm, 17th July 2014",slight,Cyclist,1,2,https://www.cyclestreets.net/collisions/reports/201401CP00255/,https://api.cyclestreets.net/v2/collisions.location?id=201401CP00255,51.511913,-0.104228
201401CP00266,"5:52pm, 5th September 2014",slight,Cyclist,1,2,https://www.cyclestreets.net/collisions/reports/201401CP00266/,https://api.cyclestreets.net/v2/collisions.location?id=201401CP00266,51.511374,-0.10425
201401CP00270,"9:46pm, 2nd September 2014",slight,Cyclist,1,2,https://www.cyclestreets.net/collisions/reports/201401CP00270/,https://api.cyclestreets.net/v2/collisions.location?id=201401CP00270,51.511908,-0.10394
201401CP00289,"2:32pm, 24th October 2014",slight,Cyclist,1,2,https://www.cyclestreets.net/collisions/reports/201401CP00289/,https://api.cyclestreets.net/v2/collisions.location?id=201401CP00289,51.511908,-0.10394
201401CP00326,"10:15am, 24th October 2014",slight,Cyclist,1,2,https://www.cyclestreets.net/collisions/reports/201401CP00326/,https://api.cyclestreets.net/v2/collisions.location?id=201401CP00326,51.510979,-0.102105
201401CP00347,"12:00pm, 21st November 2014",slight,Cyclist,1,2,https://www.cyclestreets.net/collisions/reports/201401CP00347/,https://api.cyclestreets.net/v2/collisions.location?id=201401CP00347,51.510975,-0.101817
201501CP00042,"5:55pm, 10th February 2015",slight,Cyclist,1,2,https://www.cyclestreets.net/collisions/reports/201501CP00042/,https://api.cyclestreets.net/v2/collisions.location?id=201501CP00042,51.511875,-0.104107
201501CP00052,"9:30am, 20th February 2015",slight,Cyclist,1,2,https://www.cyclestreets.net/collisions/reports/201501CP00052/,https://api.cyclestreets.net/v2/collisions.location?id=201501CP00052,51.510893,-0.104581
201501CP00099,"1:45pm, 15th April 2015",slight,Cyclist,1,2,https://www.cyclestreets.net/collisions/reports/201501CP00099/,https://api.cyclestreets.net/v2/collisions.location?id=201501CP00099,51.512045,-0.103524
201501CP00126,"8:30am, 18th May 2015",slight,Cyclist,1,2,https://www.cyclestreets.net/collisions/reports/201501CP00126/,https://api.cyclestreets.net/v2/collisions.location?id=201501CP00126,51.510803,-0.104584
201501CP00185,"8:17am, 23rd June 2015",slight,"Cyclist,Motorcycle rider/passenger",3,2,https://www.cyclestreets.net/collisions/reports/201501CP00185/,https://api.cyclestreets.net/v2/collisions.location?id=201501CP00185,51.511041,-0.108177
201501CP00186,"5:52pm, 1st June 2015",slight,Cyclist,1,2,https://www.cyclestreets.net/collisions/reports/201501CP00186/,https://api.cyclestreets.net/v2/collisions.location?id=201501CP00186,51.511038,-0.102413
201501CP00193,"8:35am, 3rd June 2015",slight,Cyclist,1,2,https://www.cyclestreets.net/collisions/reports/201501CP00193/,https://api.cyclestreets.net/v2/collisions.location?id=201501CP00193,51.511964,-0.104104
201501CP00201,"11:10am, 22nd July 2015",slight,Cyclist,1,2,https://www.cyclestreets.net/collisions/reports/201501CP00201/,https://api.cyclestreets.net/v2/collisions.location?id=201501CP00201,51.512019,-0.10194
201501CP00202,"5:45pm, 20th July 2015",slight,Cyclist,1,2,https://www.cyclestreets.net/collisions/reports/201501CP00202/,https://api.cyclestreets.net/v2/collisions.location?id=201501CP00202,51.510949,-0.108037
2016480048598,"6:00pm, 21st January 2016",slight,Cyclist,1,2,https://www.cyclestreets.net/collisions/reports/2016480048598/,https://api.cyclestreets.net/v2/collisions.location?id=2016480048598,51.510976,-0.107437
